Source,Target,Weight
33915,961560,1
33915,767833,0
33915,482272,0
33915,747491,0
33915,168717,0
33915,776093,0
33915,168909,0
33915,229150,0
33915,754082,0
33915,636627,0
33915,361031,3
33915,85310,0
33915,239602,0
33915,202651,0
33915,162764,0
33915,482484,0
33915,994946,0
33915,436563,0
33915,160411,1
33915,546644,2
33915,606262,0
33915,119366,0
33915,271501,0
33915,12182,0
33915,680986,0
33915,801898,0
33915,535725,0
33915,371820,0
33915,605781,1
33915,963787,1
33915,20945,0
33915,138998,0
33915,681371,0
33915,788335,0
33915,574084,1
33915,970498,0
33915,607962,0
33915,909576,0
33915,173028,0
33915,303199,0
33915,232016,0
33915,554794,0
33915,581019,0
33915,153165,0
33915,404983,0
33915,61180,0
33915,823531,0
33915,414856,1
33915,506347,0
33915,132630,0
33915,158340,0
33915,384002,0
33915,963685,0
33915,900405,0
33915,879545,0
33915,435846,2
33915,783880,0
33915,909182,0
33915,95469,0
33915,894239,0
33915,949620,0
33915,754832,0
33915,716902,0
33915,138129,0
33915,813416,0
33915,919611,0
33915,456039,2
33915,963975,2
33915,168298,0
33915,776758,0
33915,554427,0
33915,705000,0
33915,301847,0
33915,869262,0
33915,219936,0
33915,995791,1
33915,765308,0
33915,29656,0
33915,100192,1
33915,219912,0
33915,557648,4
33915,667448,0
33915,211587,0
33915,163448,2
33915,49823,0
33915,754420,0
33915,564749,0
33915,675701,1
33915,480855,0
33915,860675,1
33915,823327,0
33915,228077,0
33915,581790,0
33915,138605,0
33915,151132,0
33915,71213,0
33915,483196,0
33915,911419,1
33915,582014,0
33915,330139,0
33915,103490,0
33915,839464,0
33915,371168,0
33915,833862,0
33915,186661,0
33915,363950,1
33915,228540,0
33915,270482,0
33915,371775,2
33915,262174,0
33915,330110,0
33915,680513,0
33915,269563,0
33915,505785,1
33915,567977,1
33915,302776,1
33915,339741,0
33915,505634,0
33915,122671,0
33915,783016,0
33915,118908,0
33915,387872,0
33915,233186,0
33915,895413,0
33915,39362,1
33915,414157,0
33915,860128,0
33915,184303,0
33915,455480,0
33915,284436,0
33915,589535,0
33915,922667,0
33915,395611,1
33915,994303,0
33915,820157,0
33915,707234,0
33915,606452,0
33915,664957,2
33915,385573,0
33915,303825,1
33915,555997,1
33915,36921,0
33915,353953,0
33915,68677,0
33915,465238,0
33915,682021,0
33915,187952,0
33915,581041,0
33915,454539,0
33915,153722,0
33915,111337,0
33915,415972,0
33915,995488,0
33915,233001,0
33915,339715,0
33915,300842,1
33915,986789,2
33915,197923,2
33915,385908,0
33915,588189,0
33915,506445,1
33915,811322,0
33915,682149,0
33915,680843,0
33915,886220,0
33915,871436,0
33915,536849,0
33915,820693,0
33915,33471,1
33915,23614,0
33915,202017,0
33915,130579,0
33915,158574,0
33915,99829,0
33915,657820,0
33915,238358,0
33915,802913,0
33915,372801,0
33915,284112,0
33915,930431,0
33915,169713,1
33915,995359,0
33915,284548,1
33915,118846,0
33915,427241,0
33915,201040,0
33915,474036,0
33915,580947,1
33915,574890,1
33915,949342,0
33915,251615,0
33915,168603,0
33915,131059,0
33915,476555,0
33915,405125,1
33915,920717,0
33915,11771,0
33915,583440,0
33915,850709,0
33915,480583,0
33915,370360,0
33915,342967,0
33915,149930,4
33915,482579,0
33915,681792,0
33915,606168,0
33915,101679,0
33915,170755,2
33915,783441,0
33915,952314,0
33915,952442,0
33915,637778,0
33915,109594,0
33915,360804,0
33915,800559,0
33915,85942,0
33915,29577,0
33915,169696,1
33915,860784,0
33915,61390,0
33915,56169,0
33915,426444,0
33915,902149,0
33915,706214,0
33915,567380,0
33915,506614,0
33915,790421,0
33915,850225,0
33915,258919,0
33915,821696,0
33915,995213,1
33915,666372,0
33915,122538,0
33915,271452,0
33915,735011,0
33915,567575,0
33915,131472,0
33915,808997,0
33915,637293,0
33915,580510,0
33915,436879,0
33915,689637,0
33915,173152,0
33915,859079,0
33915,201274,1
33915,50032,0
33915,574278,0
33915,930147,2
33915,656643,0
33915,169760,2
33915,506088,0
33915,634190,1
33915,456648,0
33915,838517,0
33915,829838,1
33915,657760,0
33915,268255,0
33915,56942,0
33915,213134,0
33915,296719,0
33915,23044,0
33915,162093,0
33915,707420,1
33915,208065,0
33915,978168,0
33915,243399,1
33915,352561,1
33915,782703,1
33915,263318,1
33915,87645,0
33915,887867,1
33915,789498,0
33915,605917,0
33915,80786,0
33915,74932,0
33915,758884,0
33915,909475,0
33915,939077,0
33915,810607,1
33915,861764,0
33915,853702,1
33915,333742,0
33915,302156,0
33915,959630,0
33915,766437,0
33915,203015,0
33915,930228,0
33915,23408,0
33915,352365,0
33915,681076,0
33915,20303,0
33915,68448,0
33915,637414,0
33915,498862,0
33915,656975,0
33915,505111,0
33915,829616,0
33915,384093,0
33915,25122,1
33915,333208,0
33915,959574,0
33915,851293,0
33915,978131,0
33915,566252,0
33915,263713,0
33915,263448,0
33915,64599,0
33915,348307,0
33915,606962,1
33915,665719,1
33915,303067,0
33915,197957,0
33915,690883,0
33915,141346,0
33915,505797,0
33915,87299,0
33915,319860,0
33915,789651,0
33915,851853,0
33915,656573,1
33915,588717,0
33915,109799,0
33915,994664,0
33915,350278,0
33915,909169,0
33915,95116,0
33915,387581,0
33915,581084,0
33915,208511,0
33915,682104,0
33915,599051,1
33915,259320,0
33915,644654,0
33915,851804,0
33915,330162,0
33915,775840,0
33915,736308,2
33915,833627,0
33915,852314,0
33915,699384,0
33915,908476,0
33915,444481,0
33915,301378,0
33915,683981,0
33915,369562,0
33915,896666,3
33915,194910,0
33915,681324,0
33915,466836,0
33915,952557,0
33915,162240,0
33915,515033,0
33915,284100,0
33915,506825,0
33915,801150,0
33915,952959,0
33915,169228,0
33915,252601,0
33915,483963,0
33915,39957,0
33915,187096,0
33915,195509,0
33915,736138,0
33915,735815,0
33915,118752,1
33915,208706,0
33915,272734,0
33915,100849,0
33915,338814,0
33915,800948,2
33915,4692,0
33915,644851,0
33915,627761,0
33915,302222,0
33915,930317,0
33915,755521,0
33915,269177,0
33915,714008,0
33915,465327,0
33915,698672,0
33915,187136,1
33915,205466,1
33915,378318,0
33915,755556,0
33915,285211,0
33915,913592,0
33915,168564,0
33915,902111,0
33915,53414,1
33915,534602,0
33915,574602,0
33915,102588,0
33915,852650,0
33915,656163,0
33915,85636,0
33915,581720,1
33915,387358,0
33915,29937,0
33915,789237,0
33915,232352,0
33915,260800,0
33915,100883,0
33915,118804,0
33915,447769,0
33915,688840,1
33915,405952,0
33915,912284,0
33915,757276,2
33915,59067,1
33915,871439,1
33915,606738,0
33915,961024,0
33915,504419,0
33915,567228,0
33915,776378,0
33915,546344,0
33915,457522,0
33915,716612,0
33915,108514,0
33915,604000,0
